ville,pays,lat,lon,date_extraction,heure_extraction,timestamp_utc,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
New York,US,40.7128,-74.006,2025-09-11,03,2025-09-11T03:00:00+00:00,1,196.99,0.0,16.88,49.08,2.4,6.94,11.68,0.21
Paris,FR,48.8566,2.3522,2025-09-11,03,2025-09-11T03:00:00+00:00,1,113.16,0.0,1.02,54.32,0.34,3.03,5.99,0.62
Sydney,AU,-33.8688,151.2093,2025-09-11,03,2025-09-11T03:00:00+00:00,2,69.27,0.02,0.15,67.11,0.1,0.55,1.19,0.04
Tokyo,JP,35.6762,139.6503,2025-09-11,03,2025-09-11T03:00:00+00:00,2,88.84,0.24,1.3,82.89,2.61,3.03,7.68,0.0
Antananarivo,MG,-18.8792,47.5079,2025-09-11,04,2025-09-11T04:00:00+00:00,2,128.3,0.01,0.26,65.19,0.09,1.1,2.92,0.25
Cairo,EG,30.0444,31.2357,2025-09-11,04,2025-09-11T04:00:00+00:00,3,122.19,0.0,3.58,83.65,7.76,18.65,52.36,5.36
New York,US,40.7128,-74.006,2025-09-11,04,2025-09-11T04:00:00+00:00,1,207.11,0.0,18.65,41.65,2.45,7.43,11.85,0.19
Paris,FR,48.8566,2.3522,2025-09-11,04,2025-09-11T04:00:00+00:00,1,116.4,0.0,1.01,53.94,0.34,3.07,6.49,0.58
Sydney,AU,-33.8688,151.2093,2025-09-11,04,2025-09-11T04:00:00+00:00,2,69.4,0.02,0.14,68.73,0.1,0.53,1.13,0.05
Tokyo,JP,35.6762,139.6503,2025-09-11,04,2025-09-11T04:00:00+00:00,2,89.28,0.19,1.33,87.44,2.69,3.5,9.15,0.0
Antananarivo,MG,-18.8792,47.5079,2025-09-11,05,2025-09-11T05:00:00+00:00,2,129.41,0.03,0.26,64.3,0.12,1.11,2.96,0.37
Cairo,EG,30.0444,31.2357,2025-09-11,05,2025-09-11T05:00:00+00:00,3,122.85,0.14,4.29,82.43,8.53,18.51,52.28,5.43
New York,US,40.7128,-74.006,2025-09-11,05,2025-09-11T05:00:00+00:00,1,216.16,0.0,19.85,36.04,2.56,7.87,12.0,0.19
Paris,FR,48.8566,2.3522,2025-09-11,05,2025-09-11T05:00:00+00:00,1,123.02,0.0,1.17,55.53,0.35,2.99,6.73,0.54
Sydney,AU,-33.8688,151.2093,2025-09-11,05,2025-09-11T05:00:00+00:00,2,69.33,0.02,0.14,69.1,0.1,0.51,1.04,0.06
Tokyo,JP,35.6762,139.6503,2025-09-11,05,2025-09-11T05:00:00+00:00,2,89.26,0.16,1.46,88.49,2.67,3.63,10.01,0.0
Antananarivo,MG,-18.8792,47.5079,2025-09-11,06,2025-09-11T06:00:00+00:00,2,129.45,0.05,0.21,64.1,0.14,1.08,2.8,0.47
Cairo,EG,30.0444,31.2357,2025-09-11,06,2025-09-11T06:00:00+00:00,3,122.7,0.68,4.17,84.37,9.42,18.71,52.53,5.19
New York,US,40.7128,-74.006,2025-09-11,06,2025-09-11T06:00:00+00:00,1,224.12,0.0,20.67,31.62,2.62,8.22,12.16,0.18
Paris,FR,48.8566,2.3522,2025-09-11,06,2025-09-11T06:00:00+00:00,1,130.57,0.0,1.51,57.95,0.34,2.76,6.35,0.49
Sydney,AU,-33.8688,151.2093,2025-09-11,06,2025-09-11T06:00:00+00:00,2,69.45,0.03,0.16,69.55,0.1,0.5,0.94,0.07
Tokyo,JP,35.6762,139.6503,2025-09-11,06,2025-09-11T06:00:00+00:00,2,89.08,0.13,1.58,87.03,2.57,3.43,9.91,0.0
Antananarivo,MG,-18.8792,47.5079,2025-09-11,07,2025-09-11T07:00:00+00:00,2,127.41,0.03,0.12,71.52,0.12,0.78,1.97,0.35
Cairo,EG,30.0444,31.2357,2025-09-11,07,2025-09-11T07:00:00+00:00,3,121.53,0.9,3.51,92.44,10.22,19.4,52.6,4.49
New York,US,40.7128,-74.006,2025-09-11,07,2025-09-11T07:00:00+00:00,1,230.16,0.0,21.1,27.87,2.58,8.46,12.23,0.16
Paris,FR,48.8566,2.3522,2025-09-11,07,2025-09-11T07:00:00+00:00,2,136.54,0.02,1.72,60.35,0.3,2.41,5.55,0.46
Sydney,AU,-33.8688,151.2093,2025-09-11,07,2025-09-11T07:00:00+00:00,2,70.49,0.03,0.36,66.9,0.12,0.5,0.91,0.1
Tokyo,JP,35.6762,139.6503,2025-09-11,07,2025-09-11T07:00:00+00:00,2,89.54,0.06,1.36,80.61,2.09,2.51,6.94,0.0
Antananarivo,MG,-18.8792,47.5079,2025-09-11,08,2025-09-11T08:00:00+00:00,2,124.22,0.02,0.09,72.11,0.12,0.71,1.71,0.32
Cairo,EG,30.0444,31.2357,2025-09-11,08,2025-09-11T08:00:00+00:00,3,118.81,0.64,2.45,107.0,10.43,21.03,52.99,3.68
New York,US,40.7128,-74.006,2025-09-11,08,2025-09-11T08:00:00+00:00,1,232.11,0.0,20.7,25.95,2.48,8.6,12.24,0.14
Paris,FR,48.8566,2.3522,2025-09-11,08,2025-09-11T08:00:00+00:00,2,141.33,0.05,1.67,63.22,0.26,2.07,4.82,0.48
Sydney,AU,-33.8688,151.2093,2025-09-11,08,2025-09-11T08:00:00+00:00,2,71.87,0.01,0.75,62.93,0.15,0.5,0.95,0.15
Tokyo,JP,35.6762,139.6503,2025-09-11,08,2025-09-11T08:00:00+00:00,2,90.8,0.03,1.57,75.29,1.95,2.03,5.04,0.0
Antananarivo,MG,-18.8792,47.5079,2025-09-11,09,2025-09-11T09:00:00+00:00,2,120.94,0.02,0.08,69.81,0.12,0.71,1.62,0.3
Cairo,EG,30.0444,31.2357,2025-09-11,09,2025-09-11T09:00:00+00:00,3,117.15,0.37,1.59,122.29,10.64,23.39,54.58,2.87
New York,US,40.7128,-74.006,2025-09-11,09,2025-09-11T09:00:00+00:00,1,229.29,0.0,19.58,25.67,2.4,8.65,12.22,0.13
Paris,FR,48.8566,2.3522,2025-09-11,09,2025-09-11T09:00:00+00:00,2,144.65,0.05,1.57,66.49,0.22,1.83,4.34,0.56
Sydney,AU,-33.8688,151.2093,2025-09-11,09,2025-09-11T09:00:00+00:00,2,72.98,0.0,0.94,60.51,0.17,0.5,1.0,0.16
Tokyo,JP,35.6762,139.6503,2025-09-11,09,2025-09-11T09:00:00+00:00,2,92.31,0.0,1.86,71.71,1.97,1.8,3.94,0.0
Antananarivo,MG,-18.8792,47.5079,2025-09-11,10,2025-09-11T10:00:00+00:00,2,116.71,0.02,0.08,75.68,0.1,0.92,1.61,0.23
Cairo,EG,30.0444,31.2357,2025-09-11,10,2025-09-11T10:00:00+00:00,3,113.73,0.23,1.07,132.79,9.81,22.97,50.46,1.89
New York,US,40.7128,-74.006,2025-09-11,10,2025-09-11T10:00:00+00:00,1,223.91,0.0,18.36,25.72,2.41,8.59,12.11,0.13
Paris,FR,48.8566,2.3522,2025-09-11,10,2025-09-11T10:00:00+00:00,2,148.13,0.03,1.06,76.92,0.19,1.51,3.56,0.44
Sydney,AU,-33.8688,151.2093,2025-09-11,10,2025-09-11T10:00:00+00:00,1,73.89,0.0,1.13,56.05,0.17,0.5,1.07,0.14
Tokyo,JP,35.6762,139.6503,2025-09-11,10,2025-09-11T10:00:00+00:00,2,93.57,0.0,2.21,68.55,2.21,1.76,3.54,0.01
Antananarivo,MG,-18.8792,47.5079,2025-09-11,11,2025-09-11T11:00:00+00:00,2,112.76,0.02,0.09,78.47,0.1,1.09,1.67,0.2
Cairo,EG,30.0444,31.2357,2025-09-11,11,2025-09-11T11:00:00+00:00,3,108.05,0.17,0.85,136.6,8.73,21.14,45.18,1.28
New York,US,40.7128,-74.006,2025-09-11,11,2025-09-11T11:00:00+00:00,1,221.64,0.01,18.28,25.14,2.62,8.52,12.03,0.16
Paris,FR,48.8566,2.3522,2025-09-11,11,2025-09-11T11:00:00+00:00,2,142.44,0.03,0.79,81.98,0.16,1.28,2.67,0.36
Sydney,AU,-33.8688,151.2093,2025-09-11,11,2025-09-11T11:00:00+00:00,1,75.0,0.0,1.27,50.31,0.17,0.52,1.1,0.11
Tokyo,JP,35.6762,139.6503,2025-09-11,11,2025-09-11T11:00:00+00:00,2,95.61,0.0,2.74,66.34,2.7,1.88,3.48,0.01
Antananarivo,MG,-18.8792,47.5079,2025-09-11,12,2025-09-11T12:00:00+00:00,2,111.24,0.02,0.1,77.3,0.1,1.1,1.66,0.2
Cairo,EG,30.0444,31.2357,2025-09-11,12,2025-09-11T12:00:00+00:00,4,106.78,0.15,0.85,140.81,8.75,21.36,44.89,1.05
New York,US,40.7128,-74.006,2025-09-11,12,2025-09-11T12:00:00+00:00,1,224.51,1.57,17.79,27.02,3.08,8.5,12.0,0.24
Paris,FR,48.8566,2.3522,2025-09-11,12,2025-09-11T12:00:00+00:00,2,134.99,0.04,0.72,84.55,0.15,1.14,2.15,0.38
Sydney,AU,-33.8688,151.2093,2025-09-11,12,2025-09-11T12:00:00+00:00,1,75.85,0.0,1.3,45.56,0.16,0.54,1.04,0.11
Tokyo,JP,35.6762,139.6503,2025-09-11,12,2025-09-11T12:00:00+00:00,2,98.23,0.0,3.35,64.85,3.29,2.1,3.47,0.02
Antananarivo,MG,-18.8792,47.5079,2025-09-11,13,2025-09-11T13:00:00+00:00,2,111.92,0.02,0.12,75.33,0.11,1.1,1.74,0.23
Cairo,EG,30.0444,31.2357,2025-09-11,13,2025-09-11T13:00:00+00:00,4,107.43,0.15,0.93,146.9,8.82,21.5,44.59,1.03
New York,US,40.7128,-74.006,2025-09-11,13,2025-09-11T13:00:00+00:00,1,225.04,4.45,15.05,34.34,3.77,8.56,12.06,0.34
Paris,FR,48.8566,2.3522,2025-09-11,13,2025-09-11T13:00:00+00:00,2,128.59,0.04,0.69,87.79,0.15,1.05,1.89,0.43
Sydney,AU,-33.8688,151.2093,2025-09-11,13,2025-09-11T13:00:00+00:00,1,75.37,0.0,1.35,42.01,0.14,0.54,0.92,0.11
Tokyo,JP,35.6762,139.6503,2025-09-11,13,2025-09-11T13:00:00+00:00,2,101.4,0.0,4.41,63.21,4.16,2.54,3.83,0.02
Antananarivo,MG,-18.8792,47.5079,2025-09-11,14,2025-09-11T14:00:00+00:00,2,113.6,0.02,0.15,71.94,0.11,1.11,1.91,0.28
Cairo,EG,30.0444,31.2357,2025-09-11,14,2025-09-11T14:00:00+00:00,4,105.91,0.13,1.13,150.07,8.64,20.46,42.39,1.19
New York,US,40.7128,-74.006,2025-09-11,14,2025-09-11T14:00:00+00:00,1,224.68,5.15,14.24,43.95,4.23,9.05,12.56,0.45
Paris,FR,48.8566,2.3522,2025-09-11,14,2025-09-11T14:00:00+00:00,2,121.44,0.04,0.64,90.49,0.14,0.97,1.71,0.45
Sydney,AU,-33.8688,151.2093,2025-09-11,14,2025-09-11T14:00:00+00:00,1,74.53,0.0,1.38,40.31,0.13,0.52,0.79,0.11
Tokyo,JP,35.6762,139.6503,2025-09-11,14,2025-09-11T14:00:00+00:00,1,108.31,0.0,7.07,59.92,5.72,3.55,5.1,0.02
Antananarivo,MG,-18.8792,47.5079,2025-09-11,15,2025-09-11T15:00:00+00:00,2,115.37,0.0,0.21,68.41,0.12,1.14,2.12,0.31
Cairo,EG,30.0444,31.2357,2025-09-11,15,2025-09-11T15:00:00+00:00,4,105.93,0.1,1.61,151.47,8.82,19.72,41.24,1.48
New York,US,40.7128,-74.006,2025-09-11,15,2025-09-11T15:00:00+00:00,2,223.95,4.38,13.67,62.81,4.68,10.95,14.45,0.51
Paris,FR,48.8566,2.3522,2025-09-11,15,2025-09-11T15:00:00+00:00,2,114.85,0.04,0.63,93.4,0.13,0.87,1.51,0.41
Sydney,AU,-33.8688,151.2093,2025-09-11,15,2025-09-11T15:00:00+00:00,1,73.27,0.0,1.33,39.12,0.13,0.5,0.67,0.11
Tokyo,JP,35.6762,139.6503,2025-09-11,15,2025-09-11T15:00:00+00:00,1,120.81,0.0,12.5,54.28,8.1,5.47,7.57,0.01
Antananarivo,MG,-18.8792,47.5079,2025-09-11,16,2025-09-11T16:00:00+00:00,2,117.72,0.0,0.28,61.74,0.14,1.23,2.58,0.4
Cairo,EG,30.0444,31.2357,2025-09-11,16,2025-09-11T16:00:00+00:00,4,110.01,0.03,3.22,147.99,9.42,19.47,41.68,3.03
New York,US,40.7128,-74.006,2025-09-11,16,2025-09-11T16:00:00+00:00,3,157.12,1.2,6.32,110.3,3.55,8.72,10.71,0.32
Paris,FR,48.8566,2.3522,2025-09-11,16,2025-09-11T16:00:00+00:00,2,111.73,0.05,0.7,96.0,0.12,0.83,1.39,0.4
Sydney,AU,-33.8688,151.2093,2025-09-11,16,2025-09-11T16:00:00+00:00,1,71.74,0.0,1.23,38.22,0.14,0.5,0.6,0.11
Tokyo,JP,35.6762,139.6503,2025-09-11,16,2025-09-11T16:00:00+00:00,1,138.18,0.0,20.12,46.51,10.37,8.11,10.56,0.01
Antananarivo,MG,-18.8792,47.5079,2025-09-11,17,2025-09-11T17:00:00+00:00,1,123.72,0.0,0.37,55.7,0.16,1.4,3.25,0.5
Cairo,EG,30.0444,31.2357,2025-09-11,17,2025-09-11T17:00:00+00:00,4,116.14,0.0,4.98,140.46,10.1,19.32,42.71,5.31
New York,US,40.7128,-74.006,2025-09-11,17,2025-09-11T17:00:00+00:00,3,138.39,0.45,2.93,127.74,2.52,8.97,10.41,0.21
Paris,FR,48.8566,2.3522,2025-09-11,17,2025-09-11T17:00:00+00:00,2,111.91,0.04,0.84,97.3,0.13,0.9,1.48,0.46
Sydney,AU,-33.8688,151.2093,2025-09-11,17,2025-09-11T17:00:00+00:00,1,70.91,0.0,1.13,37.48,0.14,0.5,0.55,0.11
Tokyo,JP,35.6762,139.6503,2025-09-11,17,2025-09-11T17:00:00+00:00,2,155.26,0.0,27.98,37.75,11.6,10.89,13.34,0.0
Antananarivo,MG,-18.8792,47.5079,2025-09-11,18,2025-09-11T18:00:00+00:00,1,128.41,0.0,0.44,51.65,0.17,1.58,3.79,0.53
Cairo,EG,30.0444,31.2357,2025-09-11,18,2025-09-11T18:00:00+00:00,3,122.3,0.0,6.0,133.34,10.53,19.23,44.07,7.07
New York,US,40.7128,-74.006,2025-09-11,18,2025-09-11T18:00:00+00:00,3,135.46,0.27,2.03,137.52,2.32,10.11,11.44,0.19
Paris,FR,48.8566,2.3522,2025-09-11,18,2025-09-11T18:00:00+00:00,2,114.41,0.01,0.99,97.68,0.15,1.07,1.72,0.56
Sydney,AU,-33.8688,151.2093,2025-09-11,18,2025-09-11T18:00:00+00:00,1,70.13,0.0,1.06,36.45,0.13,0.5,0.53,0.11
Tokyo,JP,35.6762,139.6503,2025-09-11,18,2025-09-11T18:00:00+00:00,2,168.72,0.0,34.15,30.37,12.0,13.27,15.6,0.0
Antananarivo,MG,-18.8792,47.5079,2025-09-11,19,2025-09-11T19:00:00+00:00,1,130.02,0.0,0.47,47.85,0.17,1.63,3.91,0.49
Cairo,EG,30.0444,31.2357,2025-09-11,19,2025-09-11T19:00:00+00:00,3,125.99,0.0,6.43,126.25,10.63,18.85,45.29,8.04
New York,US,40.7128,-74.006,2025-09-11,19,2025-09-11T19:00:00+00:00,4,136.4,0.23,1.88,142.74,2.26,11.19,12.5,0.18
Paris,FR,48.8566,2.3522,2025-09-11,19,2025-09-11T19:00:00+00:00,2,115.84,0.0,1.03,95.36,0.16,1.24,2.01,0.67
Sydney,AU,-33.8688,151.2093,2025-09-11,19,2025-09-11T19:00:00+00:00,1,69.31,0.0,1.02,35.4,0.13,0.5,0.51,0.1
Tokyo,JP,35.6762,139.6503,2025-09-11,19,2025-09-11T19:00:00+00:00,2,177.0,0.0,37.5,25.18,12.12,14.76,16.82,0.0
Antananarivo,MG,-18.8792,47.5079,2025-09-11,20,2025-09-11T20:00:00+00:00,1,131.23,0.0,0.47,46.06,0.15,1.53,3.67,0.41
Cairo,EG,30.0444,31.2357,2025-09-11,20,2025-09-11T20:00:00+00:00,3,128.48,0.0,6.46,119.62,10.74,17.96,46.03,8.15
New York,US,40.7128,-74.006,2025-09-11,20,2025-09-11T20:00:00+00:00,4,138.79,0.23,2.12,143.12,2.24,12.49,13.9,0.18
Paris,FR,48.8566,2.3522,2025-09-11,20,2025-09-11T20:00:00+00:00,2,117.45,0.0,1.1,92.17,0.18,1.41,2.4,0.82
Sydney,AU,-33.8688,151.2093,2025-09-11,20,2025-09-11T20:00:00+00:00,1,69.38,0.0,1.02,34.77,0.14,0.5,0.51,0.1
Tokyo,JP,35.6762,139.6503,2025-09-11,20,2025-09-11T20:00:00+00:00,2,181.28,0.0,38.63,22.32,11.82,15.55,17.36,0.0
Antananarivo,MG,-18.8792,47.5079,2025-09-11,21,2025-09-11T21:00:00+00:00,1,128.64,0.0,0.42,45.48,0.12,1.28,3.11,0.31
Cairo,EG,30.0444,31.2357,2025-09-11,21,2025-09-11T21:00:00+00:00,3,127.88,0.0,6.17,111.83,11.0,16.48,46.48,7.57
New York,US,40.7128,-74.006,2025-09-11,21,2025-09-11T21:00:00+00:00,4,142.07,0.24,2.62,141.67,2.2,13.39,14.92,0.19
Paris,FR,48.8566,2.3522,2025-09-11,21,2025-09-11T21:00:00+00:00,2,117.71,0.0,1.18,87.48,0.21,1.55,2.91,0.96
Sydney,AU,-33.8688,151.2093,2025-09-11,21,2025-09-11T21:00:00+00:00,1,71.04,0.07,1.14,35.31,0.17,0.5,0.57,0.12
Tokyo,JP,35.6762,139.6503,2025-09-11,21,2025-09-11T21:00:00+00:00,2,180.87,0.0,37.37,22.06,11.16,15.64,17.26,0.0
Antananarivo,MG,-18.8792,47.5079,2025-09-11,22,2025-09-11T22:00:00+00:00,1,127.16,0.0,0.42,43.85,0.09,1.21,2.89,0.24
Cairo,EG,30.0444,31.2357,2025-09-11,22,2025-09-11T22:00:00+00:00,3,125.47,0.0,5.83,102.88,11.93,14.63,44.44,6.69
New York,US,40.7128,-74.006,2025-09-11,22,2025-09-11T22:00:00+00:00,3,155.5,0.33,5.41,126.15,2.08,14.5,16.32,0.27
Paris,FR,48.8566,2.3522,2025-09-11,22,2025-09-11T22:00:00+00:00,2,116.4,0.0,1.17,81.34,0.23,1.65,3.48,1.05
Sydney,AU,-33.8688,151.2093,2025-09-11,22,2025-09-11T22:00:00+00:00,1,73.2,0.39,0.95,37.91,0.2,0.5,0.62,0.15
Tokyo,JP,35.6762,139.6503,2025-09-11,22,2025-09-11T22:00:00+00:00,2,174.67,0.37,33.58,26.79,9.76,15.04,16.82,0.0
Antananarivo,MG,-18.8792,47.5079,2025-09-11,23,2025-09-11T23:00:00+00:00,1,129.31,0.0,0.47,41.19,0.08,1.31,3.02,0.24
Cairo,EG,30.0444,31.2357,2025-09-11,23,2025-09-11T23:00:00+00:00,2,126.97,0.0,5.97,96.34,13.01,13.87,40.97,7.07
New York,US,40.7128,-74.006,2025-09-11,23,2025-09-11T23:00:00+00:00,3,173.47,0.15,9.26,102.93,1.78,15.49,17.68,0.36
Paris,FR,48.8566,2.3522,2025-09-11,23,2025-09-11T23:00:00+00:00,2,116.15,0.0,1.09,76.4,0.25,1.75,4.06,1.05
Sydney,AU,-33.8688,151.2093,2025-09-11,23,2025-09-11T23:00:00+00:00,1,74.07,0.62,0.83,38.11,0.24,0.51,0.69,0.23
Tokyo,JP,35.6762,139.6503,2025-09-11,23,2025-09-11T23:00:00+00:00,2,166.31,1.18,28.45,35.5,8.83,13.84,15.83,0.0
Antananarivo,MG,-18.8792,47.5079,2025-09-12,00,2025-09-12T00:00:00+00:00,1,130.83,0.0,0.5,39.21,0.07,1.39,3.16,0.25
Cairo,EG,30.0444,31.2357,2025-09-12,00,2025-09-12T00:00:00+00:00,2,129.25,0.0,5.94,91.76,13.47,14.09,40.47,7.63
New York,US,40.7128,-74.006,2025-09-12,00,2025-09-12T00:00:00+00:00,2,184.74,0.0,11.07,86.18,1.41,16.01,18.53,0.38
Paris,FR,48.8566,2.3522,2025-09-12,00,2025-09-12T00:00:00+00:00,2,116.26,0.0,0.98,72.3,0.26,1.82,4.55,0.96
Sydney,AU,-33.8688,151.2093,2025-09-12,00,2025-09-12T00:00:00+00:00,1,73.96,0.61,0.81,40.82,0.28,0.58,0.79,0.32
Tokyo,JP,35.6762,139.6503,2025-09-12,00,2025-09-12T00:00:00+00:00,2,158.5,1.54,24.03,44.65,8.3,12.19,14.13,0.0
Antananarivo,MG,-18.8792,47.5079,2025-09-12,01,2025-09-12T01:00:00+00:00,1,133.52,0.0,0.54,37.2,0.07,1.5,3.31,0.27
Cairo,EG,30.0444,31.2357,2025-09-12,01,2025-09-12T01:00:00+00:00,2,129.99,0.0,5.68,87.61,13.07,14.87,41.87,8.11
New York,US,40.7128,-74.006,2025-09-12,01,2025-09-12T01:00:00+00:00,2,187.39,0.0,11.11,76.11,1.08,16.19,18.93,0.33
Paris,FR,48.8566,2.3522,2025-09-12,01,2025-09-12T01:00:00+00:00,2,115.5,0.0,0.89,68.45,0.27,1.86,4.88,0.81
Sydney,AU,-33.8688,151.2093,2025-09-12,01,2025-09-12T01:00:00+00:00,2,70.68,0.11,0.35,65.64,0.41,0.5,0.63,0.24
Tokyo,JP,35.6762,139.6503,2025-09-12,01,2025-09-12T01:00:00+00:00,2,152.47,1.7,20.59,53.64,8.03,10.58,12.34,0.0
Antananarivo,MG,-18.8792,47.5079,2025-09-12,02,2025-09-12T02:00:00+00:00,1,137.27,0.0,0.61,34.97,0.07,1.67,3.49,0.31
Cairo,EG,30.0444,31.2357,2025-09-12,02,2025-09-12T02:00:00+00:00,2,131.54,0.0,5.46,84.56,12.14,16.24,44.41,8.67
New York,US,40.7128,-74.006,2025-09-12,02,2025-09-12T02:00:00+00:00,2,189.33,0.0,10.69,68.6,0.84,16.45,19.36,0.25
Paris,FR,48.8566,2.3522,2025-09-12,02,2025-09-12T02:00:00+00:00,2,115.6,0.0,0.83,65.82,0.26,1.86,5.05,0.68
Sydney,AU,-33.8688,151.2093,2025-09-12,02,2025-09-12T02:00:00+00:00,2,69.78,0.08,0.26,68.41,0.43,0.51,0.68,0.21
Tokyo,JP,35.6762,139.6503,2025-09-12,02,2025-09-12T02:00:00+00:00,2,148.64,1.64,18.82,61.09,8.09,9.74,11.39,0.0
Antananarivo,MG,-18.8792,47.5079,2025-09-12,03,2025-09-12T03:00:00+00:00,1,142.71,0.0,0.71,33.43,0.08,1.9,3.79,0.37
Cairo,EG,30.0444,31.2357,2025-09-12,03,2025-09-12T03:00:00+00:00,2,132.84,0.0,5.23,81.72,10.83,17.91,47.83,8.96
New York,US,40.7128,-74.006,2025-09-12,03,2025-09-12T03:00:00+00:00,2,190.18,0.0,10.21,61.95,0.68,16.64,19.56,0.15
Paris,FR,48.8566,2.3522,2025-09-12,03,2025-09-12T03:00:00+00:00,2,115.62,0.0,0.81,63.74,0.23,1.82,5.02,0.58
Sydney,AU,-33.8688,151.2093,2025-09-12,03,2025-09-12T03:00:00+00:00,2,69.1,0.07,0.24,69.28,0.44,0.55,0.74,0.2
Tokyo,JP,35.6762,139.6503,2025-09-12,03,2025-09-12T03:00:00+00:00,2,146.18,1.67,17.61,67.85,8.26,9.46,11.16,0.01
Antananarivo,MG,-18.8792,47.5079,2025-09-12,04,2025-09-12T04:00:00+00:00,1,152.97,0.05,0.84,32.76,0.13,2.38,4.85,0.54
Cairo,EG,30.0444,31.2357,2025-09-12,04,2025-09-12T04:00:00+00:00,3,132.24,0.0,5.08,77.98,9.58,19.43,51.26,8.51
New York,US,40.7128,-74.006,2025-09-12,04,2025-09-12T04:00:00+00:00,2,187.11,0.0,9.15,55.47,0.58,16.63,19.35,0.1
Paris,FR,48.8566,2.3522,2025-09-12,04,2025-09-12T04:00:00+00:00,2,115.22,0.0,0.84,61.54,0.2,1.76,4.81,0.52
Sydney,AU,-33.8688,151.2093,2025-09-12,04,2025-09-12T04:00:00+00:00,2,69.4,0.07,0.26,70.23,0.44,0.58,0.8,0.2
Tokyo,JP,35.6762,139.6503,2025-09-12,04,2025-09-12T04:00:00+00:00,2,145.06,1.63,16.38,74.29,8.37,9.74,11.51,0.0
Antananarivo,MG,-18.8792,47.5079,2025-09-12,05,2025-09-12T05:00:00+00:00,1,163.55,0.19,0.76,34.68,0.19,2.93,6.15,0.84
Cairo,EG,30.0444,31.2357,2025-09-12,05,2025-09-12T05:00:00+00:00,3,133.17,0.21,5.53,76.32,9.25,21.25,56.03,7.96
New York,US,40.7128,-74.006,2025-09-12,05,2025-09-12T05:00:00+00:00,2,183.19,0.0,7.89,47.76,0.5,16.73,19.31,0.1
Paris,FR,48.8566,2.3522,2025-09-12,05,2025-09-12T05:00:00+00:00,1,115.62,0.0,1.09,59.75,0.18,1.72,4.53,0.49
Sydney,AU,-33.8688,151.2093,2025-09-12,05,2025-09-12T05:00:00+00:00,2,69.49,0.08,0.31,69.39,0.43,0.59,0.84,0.2
Tokyo,JP,35.6762,139.6503,2025-09-12,05,2025-09-12T05:00:00+00:00,2,142.74,1.38,14.72,81.29,8.44,10.15,12.0,0.0
Antananarivo,MG,-18.8792,47.5079,2025-09-12,06,2025-09-12T06:00:00+00:00,1,166.42,0.18,0.55,40.38,0.24,3.4,6.89,1.11
Cairo,EG,30.0444,31.2357,2025-09-12,06,2025-09-12T06:00:00+00:00,3,133.83,0.92,5.12,78.28,9.65,23.46,61.55,7.13
New York,US,40.7128,-74.006,2025-09-12,06,2025-09-12T06:00:00+00:00,2,180.0,0.0,7.03,40.38,0.49,16.83,19.37,0.11
Paris,FR,48.8566,2.3522,2025-09-12,06,2025-09-12T06:00:00+00:00,1,116.01,0.0,1.61,57.88,0.17,1.69,4.25,0.47
Sydney,AU,-33.8688,151.2093,2025-09-12,06,2025-09-12T06:00:00+00:00,2,69.63,0.08,0.38,68.23,0.4,0.6,0.89,0.21
Tokyo,JP,35.6762,139.6503,2025-09-12,06,2025-09-12T06:00:00+00:00,2,138.35,0.94,12.83,88.46,8.44,10.38,12.38,0.0
Antananarivo,MG,-18.8792,47.5079,2025-09-12,07,2025-09-12T07:00:00+00:00,2,119.77,0.03,0.12,71.27,0.15,1.44,2.64,0.33
Cairo,EG,30.0444,31.2357,2025-09-12,07,2025-09-12T07:00:00+00:00,3,134.09,1.23,4.37,86.31,10.55,26.46,67.27,6.05
New York,US,40.7128,-74.006,2025-09-12,07,2025-09-12T07:00:00+00:00,2,180.14,0.0,7.1,33.87,0.52,16.79,19.33,0.12
Paris,FR,48.8566,2.3522,2025-09-12,07,2025-09-12T07:00:00+00:00,1,115.19,0.07,1.95,56.26,0.16,1.66,4.0,0.46
Sydney,AU,-33.8688,151.2093,2025-09-12,07,2025-09-12T07:00:00+00:00,2,71.59,0.1,0.89,65.44,0.39,0.63,1.01,0.32
Tokyo,JP,35.6762,139.6503,2025-09-12,07,2025-09-12T07:00:00+00:00,2,132.74,0.5,11.17,93.27,8.19,10.07,12.27,0.0
Antananarivo,MG,-18.8792,47.5079,2025-09-12,08,2025-09-12T08:00:00+00:00,2,115.23,0.02,0.09,74.42,0.14,1.43,2.38,0.27
Cairo,EG,30.0444,31.2357,2025-09-12,08,2025-09-12T08:00:00+00:00,3,133.68,0.96,3.38,100.71,10.7,30.63,72.18,5.17
New York,US,40.7128,-74.006,2025-09-12,08,2025-09-12T08:00:00+00:00,2,182.55,0.01,7.31,27.6,0.49,16.78,19.15,0.1
Paris,FR,48.8566,2.3522,2025-09-12,08,2025-09-12T08:00:00+00:00,1,114.07,0.19,1.9,55.98,0.17,1.63,3.83,0.52
Sydney,AU,-33.8688,151.2093,2025-09-12,08,2025-09-12T08:00:00+00:00,2,76.41,0.02,2.01,64.91,0.47,0.71,1.22,0.57
Tokyo,JP,35.6762,139.6503,2025-09-12,08,2025-09-12T08:00:00+00:00,2,128.32,0.16,10.65,93.5,7.81,9.42,11.69,0.0
